Borehole_Name,Source_ID,From_Depth,To_Depth,Depth_Units,From_Depth_mbgs,To_Depth_mbgs,Int_Top_Depth,Int_Bot_Depth,Pri_Material,Sec_Material,Colour,Full_Text,Comment
1,1,0,20,feet,0,6.1,0,6.1,till,,grey,"Till, grey, very silty with pebbles",
1,1,20,35,feet,6.1,10.67,6.1,10.67,silt,,grey - dark grey,"Silt - Glacial, grey - dark grey, occ. pebbles. Water table at 20.",
1,1,35,37,feet,10.67,11.28,10.67,11.28,sand,,,Water sand at 35 - 37,Assume depth on log is a typo
1,1,37,48,feet,11.28,14.63,11.28,14.63,till,,dark grey,"Till, dark grey, very sandy and silty with common pebbles",
1,1,48,49,feet,14.63,14.94,14.63,14.94,shale,,Grey (bluish),"Bedrock. Grey (bluish), very silty, shale",
100,1,0,8,feet,0,2.44,0,2.44,till,,brown,"Till, brown, silty to sandy with pebbles",
100,1,8,17,feet,2.44,5.18,2.44,5.18,sand,,yellow and brown,"Glacial sand, very silty, weathered, yellow and brown",
100,1,17,18,feet,5.18,5.49,5.18,5.49,sandy clay,sandy clay,grey,"Very sandy clay, grey with black specks bedrock",
100,1,18,19,feet,5.49,5.79,5.49,5.79,shale,,green,"Green shale, very silty, dry. Water table is probably around 17.",
101,1,0,4,feet,0,1.22,0,1.22,till,gypsum,brown grey,"Till, brown grey, silty with gypsum, occasional pebbles",
101,1,4,6,feet,1.22,1.83,1.22,1.83,sandy till,,,"Sandy till, weathered",
101,1,6,8,feet,1.83,2.44,1.83,2.44,sandstone,,,"SS - resembles Edmonton Formation, green specks",
101,1,8,18,feet,2.44,5.49,2.44,5.49,bedrock,lignite?,grey,"Bedrock - grey, sandy and silty. Dark grey specks and green grains. 15 - 16: chocolate brown cone of same material; contains lignite. 16 - 18: Grey, sandy, silty material - Bedrock a/a with pieces of green shale.",
102,1,0,12,feet,0,3.66,0,3.66,sandy till,,brown,"Brown sandy till, weathered with abundant pebbles",
102,1,12,25,feet,3.66,7.62,3.66,7.62,sandy till,,bluish grey,12 Water table. Bluish grey till weathered brown; sandy,
102,1,25,31,feet,7.62,9.45,7.62,9.45,till,,dark grey,"Till, dark grey, very silty with minor sand.",
102,1,31,34,feet,9.45,10.36,9.45,10.36,silty shale,silty shale,grey,Bedrock: grey silty shale with concretions of shale occurring in the shale.,
103,1,0,11,feet,0,3.35,0,3.35,sand,,,Sand fine to coarse (typical glacial) clean clear quartz subrounded grains. Water wet.,
103,1,11,54,feet,3.35,16.46,3.35,16.46,till,,grey,Till grey very silty with abundant pebbles,
103,1,54,59,feet,16.46,17.98,16.46,17.98,shale,,brown,Bedrock: brown silty weathered; banded,
103,1,59,60,feet,17.98,18.29,17.98,18.29,silty shale,,greenish grey,Greenish grey unweathered silty shale,
104,1,0,15,feet,0,4.57,0,4.57,till,,brown,Till: brown clay sandy with pebbles weathered with occasional wisps of sand,
104,1,15,20,feet,4.57,6.1,4.57,6.1,till,,brown,"Till brown, weathered, very silty",
104,1,20,40,feet,6.1,12.19,6.1,12.19,clay,,grey,"Till, grey, unweathered clay",
104,1,40,74,feet,12.19,22.56,12.19,22.56,till,,dark grey to grey,Till dark grey - grey silty with pebbles,
104,1,74,80,feet,22.56,24.38,22.56,24.38,bedrock,,,Bedrock,
105,1,0,46,feet,0,14.02,0,14.02,till,,,"Shelby 56"" - 68"": Till, olive grey, very silty, weathered.Shelby 126"" - 138"": till, brown grey, silty with pebbles and trace sand. Shelby 226"" - 238"": Till, grey, silty with pebbles. Shelby 326"" - 338"": Till, grey, silty sl. sandy - clay. Shelby #5 426"" - 438"": no description",see log for blow counts
105,1,46,54,feet,14.02,16.46,14.02,16.46,gravel,,,Gravel deposit. Glacial? Water table. Break down.,see log for blow counts
106,1,0,14,feet,0,4.27,0,4.27,clay,,brown,"Till = clay, brown, weathered, very silty and sandy",
106,1,14,27,feet,4.27,8.23,4.27,8.23,clay,silty clay,bluish grey,"Till bluish grey clay, silty with minor pebbles",
106,1,27,55,feet,8.23,16.76,8.23,16.76,clay,,dark grey,"Till - clay, dark grey, very silty, slightly sandy with occasional lst. pebbles.",
106,1,55,70,feet,16.76,21.34,16.76,21.34,fine sand,,grey,"Sand very fine grain - silty grey, with water",
106,1,70,85,feet,21.34,25.91,21.34,25.91,till,,dark grey,Till dark grey very silty with abundant pebbles. Bottom in till at 85.,
108,1,0,15,feet,0,4.57,0,4.57,till,,brown grey,"till brown grey, slightly weathered with pebbles",
