X,Y,Z,formation
656424.0,5944186.0,671.0,?
645184.0,5940461.0,654.0,bedrock
648373.0,5942200.0,645.0,bedrock
651666.0,5940686.0,667.0,bedrock
653227.0,5942344.0,683.0,bedrock
653399.0,5937500.0,674.0,bedrock
654706.0,5947273.0,666.0,bedrock
656156.0,5952164.0,654.0,bedrock
656424.0,5944186.0,664.0,bedrock
656533.0,5940849.0,679.0,bedrock
656682.0,5936072.0,664.0,bedrock
657873.0,5950628.0,656.0,bedrock
657999.0,5945774.0,653.0,bedrock
658053.0,5944145.0,657.0,bedrock
661260.0,5945860.0,658.0,bedrock
661475.0,5939384.0,665.0,bedrock
661691.0,5932929.0,658.0,bedrock
662997.0,5942700.0,660.0,bedrock
663178.0,5937826.0,660.0,bedrock
656204.0,5950571.0,661.0,bentonite
660084.0,5932875.0,653.0,boulders
645110.0,5942116.0,708.0,clay
645110.0,5942116.0,721.0,clay
645110.0,5942116.0,735.0,clay
646500.0,5948449.0,707.0,clay
646799.0,5940510.0,702.0,clay
648230.0,5947048.0,734.0,clay
648305.0,5943818.0,712.0,clay
648373.0,5942200.0,699.0,clay
648425.0,5940559.0,646.0,clay
648425.0,5940559.0,705.0,clay
648524.0,5937332.0,687.0,clay
650035.0,5940620.0,630.0,clay
651277.0,5952012.0,653.0,clay
651416.0,5947167.0,652.0,clay
651666.0,5940686.0,670.0,clay
651910.0,5932602.0,655.0,clay
653004.0,5948843.0,668.0,clay
653456.0,5935870.0,653.0,clay
654797.0,5944032.0,665.0,clay
656156.0,5952164.0,650.0,clay
656279.0,5948940.0,657.0,clay
656317.0,5947328.0,667.0,clay
656585.0,5939239.0,687.0,clay
656638.0,5937610.0,675.0,clay
656805.0,5932820.0,614.0,clay
657973.0,5947386.0,643.0,clay
658053.0,5944145.0,659.0,clay
658053.0,5944145.0,665.0,clay
658106.0,5942539.0,660.0,clay
658216.0,5939298.0,682.0,clay
658383.0,5934432.0,644.0,clay
659424.0,5952274.0,661.0,clay
659528.0,5949052.0,617.0,clay
659599.0,5947443.0,658.0,clay
659629.0,5945832.0,656.0,clay
659679.0,5944204.0,664.0,clay
659734.0,5942595.0,660.0,clay
659734.0,5942595.0,669.0,clay
659789.0,5940965.0,666.0,clay
660030.0,5934484.0,665.0,clay
661052.0,5952321.0,653.0,clay
661207.0,5947493.0,658.0,clay
661260.0,5945860.0,664.0,clay
661365.0,5942625.0,661.0,clay
661419.0,5941022.0,667.0,clay
661656.0,5934544.0,663.0,clay
662727.0,5950781.0,665.0,clay
663105.0,5939454.0,664.0,clay
663263.0,5934592.0,669.0,clay
664418.0,5949220.0,606.0,clay
664855.0,5936177.0,655.0,clay
656371.0,5945717.0,661.0,clayey material
651378.0,5948901.0,677.5,clayey sandstone
649705.0,5950361.0,672.0,clayey till
650233.0,5934348.0,639.0,coal
651416.0,5947167.0,677.0,fill
652884.0,5952059.0,658.0,fill
653060.0,5947213.0,674.0,fill
653114.0,5945603.0,674.0,fill
656279.0,5948940.0,666.0,fill
657973.0,5947386.0,665.0,fill
658053.0,5944145.0,668.0,fill
658106.0,5942539.0,672.0,fill
658453.0,5932820.0,675.0,fill
659629.0,5945832.0,667.0,fill
659734.0,5942595.0,670.0,fill
661419.0,5941022.0,675.0,fill
661475.0,5939384.0,672.0,fill
661550.0,5937771.0,670.0,fill
662854.0,5947544.0,676.0,fill
663178.0,5937826.0,672.0,fill
664475.0,5947609.0,693.0,fill
664512.0,5945978.0,684.0,fill
645110.0,5942116.0,680.0,fine sand
648230.0,5947048.0,682.0,fine sand
651416.0,5947167.0,666.0,fine sand
653399.0,5937500.0,676.0,fine sand
646726.0,5942127.0,667.0,gravel
651666.0,5940686.0,671.0,gravel
651791.0,5937449.0,633.0,no data
662800.0,5949152.0,614.0,no data
649738.0,5948728.0,682.0,not indicated
651498.0,5945537.0,691.0,overburden
656805.0,5932820.0,636.0,pebbly till
664418.0,5949220.0,623.0,pebbly till
645184.0,5940461.0,690.0,sand
646828.0,5938889.0,694.0,sand
646876.0,5937290.0,702.0,sand
646944.0,5935672.0,706.0,sand
648425.0,5940559.0,642.0,sand
648524.0,5937332.0,693.0,sand
649738.0,5948728.0,679.0,sand
649837.0,5945479.0,679.0,sand
649908.0,5943867.0,725.0,sand
649980.0,5942234.0,709.0,sand
650035.0,5940620.0,705.0,sand
650111.0,5939007.0,646.0,sand
650158.0,5937384.0,627.0,sand
651277.0,5952012.0,659.0,sand
651416.0,5947167.0,674.0,sand
651498.0,5945537.0,686.0,sand
651791.0,5937449.0,632.0,sand
651876.0,5934212.0,663.0,sand
651910.0,5932602.0,688.0,sand
652884.0,5952059.0,652.0,sand
653060.0,5947213.0,671.0,sand
653456.0,5935870.0,678.0,sand
653534.0,5932653.0,696.0,sand
654742.0,5945639.0,658.0,sand
654876.0,5942420.0,677.0,sand
657924.0,5949020.0,667.0,sand
660084.0,5932875.0,657.0,sand
661052.0,5952321.0,665.0,sand
661153.0,5949101.0,665.0,sand
661312.0,5944125.0,665.0,sand
662667.0,5952373.0,593.0,sand
662727.0,5950781.0,634.0,sand
662727.0,5950781.0,661.0,sand
664283.0,5952425.0,591.0,sand
664283.0,5952425.0,608.0,sand
664283.0,5952425.0,623.0,sand
664283.0,5952425.0,682.0,sand
664475.0,5947609.0,673.0,sand
664959.0,5933040.0,631.0,sand
648230.0,5947048.0,669.0,sand and gravel
659528.0,5949052.0,634.0,sand and gravel
661122.0,5950727.0,635.0,sand and gravel
664283.0,5952425.0,671.0,sand and gravel
645318.0,5935612.0,654.0,sandstone
646722.0,5951877.0,686.5,sandstone
649653.0,5951961.0,658.0,sandstone
649653.0,5951961.0,662.0,sandstone
651328.0,5950414.0,656.0,sandstone
651328.0,5950414.0,661.0,sandstone
653227.0,5942344.0,685.0,sandstone
654570.0,5950704.0,660.0,sandstone
656371.0,5945717.0,666.0,sandstone
664512.0,5945978.0,664.0,sandstone
654570.0,5950704.0,664.0,sandstone and shale
654876.0,5942420.0,668.0,sandy clay
661207.0,5947493.0,662.0,sandy clay
663105.0,5939454.0,665.0,sandy clay
648572.0,5935730.0,704.0,sandy till
648670.0,5932503.0,696.0,sandy till
651603.0,5942310.0,691.0,sandy till
651603.0,5942310.0,703.0,sandy till
653227.0,5942344.0,687.0,sandy till
645211.0,5938854.0,669.0,shale
646799.0,5940510.0,649.0,shale
646876.0,5937290.0,661.0,shale
646944.0,5935672.0,668.0,shale
646972.0,5934063.0,660.0,shale
648031.0,5951917.0,670.0,shale
648081.0,5950314.0,632.0,shale
648113.0,5948676.0,663.0,shale
648230.0,5947048.0,639.0,shale
648305.0,5943818.0,658.0,shale
648425.0,5940559.0,629.0,shale
648474.0,5938955.0,644.0,shale
648524.0,5937332.0,650.0,shale
648572.0,5935730.0,650.0,shale
648602.0,5934104.0,676.0,shale
648670.0,5932503.0,636.5,shale
648670.0,5932503.0,641.0,shale
649653.0,5951961.0,655.0,shale
649705.0,5950361.0,663.0,shale
649738.0,5948728.0,670.0,shale
649819.0,5947246.0,636.5,shale
649980.0,5942234.0,655.0,shale
650158.0,5937384.0,619.0,shale
650158.0,5937384.0,647.0,shale
650185.0,5935758.0,662.0,shale
651277.0,5952012.0,651.0,shale
651378.0,5948901.0,670.0,shale
651378.0,5948901.0,673.0,shale
651498.0,5945537.0,675.0,shale
651541.0,5943927.0,677.0,shale
651541.0,5943927.0,681.0,shale
651718.0,5939058.0,641.0,shale
651834.0,5935820.0,657.0,shale
651876.0,5934212.0,661.0,shale
652884.0,5952059.0,651.0,shale
652967.0,5950454.0,662.0,shale
653192.0,5943973.0,676.0,shale
653285.0,5940734.0,679.0,shale
653361.0,5939127.0,675.0,shale
653456.0,5935870.0,649.0,shale
653501.0,5934211.0,665.0,shale
653534.0,5932653.0,674.0,shale
654532.0,5952114.0,652.5,shale
654627.0,5948886.0,666.0,shale
654876.0,5942420.0,667.0,shale
654929.0,5940795.0,684.0,shale
654978.0,5939163.0,684.0,shale
655007.0,5937556.0,654.0,shale
655117.0,5934317.0,638.0,shale
655189.0,5932707.0,659.0,shale
656204.0,5950571.0,660.0,shale
656317.0,5947328.0,655.0,shale
656371.0,5945717.0,665.0,shale
656480.0,5942480.0,667.0,shale
656585.0,5939239.0,677.0,shale
656747.0,5934374.0,628.0,shale
657790.0,5952219.0,658.0,shale
658106.0,5942539.0,658.0,shale
658166.0,5940910.0,666.0,shale
658216.0,5939298.0,675.0,shale
658290.0,5937669.0,677.0,shale
658453.0,5932820.0,618.0,shale
659424.0,5952274.0,658.0,shale
659474.0,5950683.0,659.0,shale
659865.0,5939355.0,663.0,shale
659902.0,5937723.0,667.0,shale
661153.0,5949101.0,649.0,shale
661312.0,5944125.0,661.0,shale
661550.0,5937771.0,663.0,shale
662854.0,5947544.0,639.0,shale
663071.0,5941066.0,664.0,shale
663230.0,5936222.0,655.0,shale
663263.0,5934592.0,658.0,shale
663318.0,5932964.0,652.0,shale
663318.0,5932964.0,661.0,shale
664360.0,5950852.0,649.0,shale
664475.0,5947609.0,646.0,shale
664566.0,5944504.0,670.0,shale
664643.0,5942752.0,664.0,shale
664699.0,5941126.0,659.0,shale
664755.0,5939514.0,664.0,shale
664793.0,5938003.0,662.0,shale
664793.0,5938003.0,663.0,shale
664924.0,5934645.0,651.0,shale
664959.0,5933040.0,618.0,shale
646972.0,5934063.0,642.0,shale and silty clay
653060.0,5947213.0,668.0,shaley clay
662997.0,5942700.0,670.0,silt
663071.0,5941066.0,667.0,silt
663178.0,5937826.0,666.0,silt
664959.0,5933040.0,646.0,silt
662885.0,5945910.0,662.0,siltstone
653114.0,5945603.0,671.0,silty clay
653004.0,5948843.0,672.0,silty fine sand
649980.0,5942234.0,650.0,silty shale
651603.0,5942310.0,672.0,silty shale
653114.0,5945603.0,664.0,silty shale
654742.0,5945639.0,637.0,silty shale
662941.0,5944307.0,659.0,silty shale
646944.0,5935672.0,697.0,silty till
648081.0,5950314.0,687.0,silty till
648230.0,5947048.0,656.0,silty till
648524.0,5937332.0,673.0,silty till
649837.0,5945479.0,711.0,silty till
650158.0,5937384.0,680.0,silty till
650158.0,5937384.0,686.0,silty till
651876.0,5934212.0,682.0,silty till
662667.0,5952373.0,675.0,silty till
653501.0,5934211.0,668.0,stony till
645110.0,5942116.0,665.0,till
645184.0,5940461.0,685.0,till
645184.0,5940461.0,710.0,till
645211.0,5938854.0,683.0,till
645211.0,5938854.0,694.0,till
645211.0,5938854.0,710.0,till
645318.0,5935612.0,707.0,till
646500.0,5948449.0,679.0,till
646500.0,5948449.0,690.0,till
646500.0,5948449.0,711.5,till
646500.0,5948449.0,730.0,till
646722.0,5951877.0,694.0,till
646726.0,5942127.0,713.0,till
646799.0,5940510.0,676.0,till
646799.0,5940510.0,686.0,till
646828.0,5938889.0,704.0,till
646876.0,5937290.0,692.0,till
646876.0,5937290.0,699.0,till
646876.0,5937290.0,707.0,till
646944.0,5935672.0,716.0,till
646972.0,5934063.0,658.0,till
646972.0,5934063.0,670.0,till
646972.0,5934063.0,686.0,till
646972.0,5934063.0,695.0,till
646972.0,5934063.0,710.0,till
647015.0,5933198.0,645.0,till
647015.0,5933198.0,650.0,till
647015.0,5933198.0,695.0,till
647015.0,5933198.0,710.0,till
648031.0,5951917.0,674.0,till
648081.0,5950314.0,637.0,till
648081.0,5950314.0,702.0,till
648113.0,5948676.0,693.0,till
648113.0,5948676.0,703.0,till
648113.0,5948676.0,728.0,till
648230.0,5947048.0,674.0,till
648230.0,5947048.0,703.0,till
648230.0,5947048.0,705.0,till
648230.0,5947048.0,709.0,till
648305.0,5943818.0,669.0,till
648305.0,5943818.0,727.0,till
648373.0,5942200.0,679.0,till
648373.0,5942200.0,704.0,till
648373.0,5942200.0,719.0,till
648425.0,5940559.0,637.0,till
648425.0,5940559.0,683.0,till
648425.0,5940559.0,687.0,till
648474.0,5938955.0,702.0,till
648572.0,5935730.0,669.0,till
648572.0,5935730.0,678.0,till
648572.0,5935730.0,693.0,till
648602.0,5934104.0,667.5,till
648602.0,5934104.0,681.0,till
648602.0,5934104.0,701.0,till
648602.0,5934104.0,717.0,till
648670.0,5932503.0,688.5,till
648670.0,5932503.0,716.0,till
648670.0,5932503.0,726.0,till
649653.0,5951961.0,664.0,till
649819.0,5947246.0,691.0,till
649819.0,5947246.0,706.0,till
649837.0,5945479.0,678.0,till
649837.0,5945479.0,726.0,till
649908.0,5943867.0,685.0,till
649908.0,5943867.0,704.0,till
649980.0,5942234.0,698.0,till
650035.0,5940620.0,621.0,till
650035.0,5940620.0,638.0,till
650035.0,5940620.0,690.0,till
650035.0,5940620.0,695.0,till
650111.0,5939007.0,641.0,till
650111.0,5939007.0,688.0,till
650111.0,5939007.0,699.0,till
650158.0,5937384.0,698.0,till
650185.0,5935758.0,667.0,till
650185.0,5935758.0,688.0,till
650185.0,5935758.0,692.0,till
650185.0,5935758.0,709.0,till
650233.0,5934348.0,638.0,till
650233.0,5934348.0,694.0,till
650233.0,5934348.0,701.0,till
650233.0,5934348.0,719.0,till
651277.0,5952012.0,655.0,till
651277.0,5952012.0,660.0,till
651328.0,5950414.0,665.0,till
651378.0,5948901.0,678.0,till
651416.0,5947167.0,664.0,till
651498.0,5945537.0,678.0,till
651541.0,5943927.0,682.0,till
651541.0,5943927.0,688.0,till
651541.0,5943927.0,705.0,till
651603.0,5942310.0,678.0,till
651666.0,5940686.0,685.0,till
651666.0,5940686.0,697.0,till
651718.0,5939058.0,685.0,till
651718.0,5939058.0,700.0,till
651791.0,5937449.0,624.0,till
651791.0,5937449.0,638.0,till
651791.0,5937449.0,648.0,till
651791.0,5937449.0,655.0,till
651791.0,5937449.0,676.0,till
651791.0,5937449.0,692.0,till
651834.0,5935820.0,659.0,till
651834.0,5935820.0,672.0,till
651834.0,5935820.0,692.0,till
651834.0,5935820.0,703.0,till
651876.0,5934212.0,689.0,till
651876.0,5934212.0,709.0,till
651876.0,5934212.0,724.0,till
651910.0,5932602.0,687.0,till
651910.0,5932602.0,711.0,till
651910.0,5932602.0,720.0,till
651910.0,5932602.0,737.0,till
652884.0,5952059.0,653.0,till
652967.0,5950454.0,663.0,till
653004.0,5948843.0,671.0,till
653192.0,5943973.0,681.0,till
653227.0,5942344.0,691.0,till
653285.0,5940734.0,689.0,till
653361.0,5939127.0,685.0,till
653399.0,5937500.0,689.0,till
653456.0,5935870.0,661.0,till
653456.0,5935870.0,677.0,till
653456.0,5935870.0,681.0,till
653456.0,5935870.0,693.0,till
653501.0,5934211.0,688.0,till
653501.0,5934211.0,698.0,till
653501.0,5934211.0,708.0,till
653534.0,5932653.0,690.0,till
653534.0,5932653.0,705.0,till
653534.0,5932653.0,720.0,till
654532.0,5952114.0,657.0,till
654570.0,5950704.0,665.0,till
