"ART_ID","TAB_NAME","TITLE","ARTIST","ADDRESS","SHORT_DESC","DESC1","DESC2","DESC3","WEBSITE","longitude","latitude","location","City_Quadrants","Ward_Boundaries","Calgary_Communities"
"P2004.001.001","Southwest","Skywalk","Derek Besant","Canyon Meadows pedestrian overpass (North of Canyon Meadows Drive)","An image of a Chinook sky greets vehicles traveling along Macleod Trail South, while pedestrians using the overpass are invited to take a walk through the clouds.","This 14 panel frieze represents one of Calgary's most familiar weather conditions, the Chinook, a strong wind system which blows warmer air into the local environment, causing rapid temperature shifts and changing cloud formations.","""On sunny days the artwork serves to blend the bridge infrastructure into its surrounding environment.  On cloudy days, it provides a reminder of sunny days to come.""","","https://www.calgary.ca/CSPS/Recreation/Documents/Public-art/Percent-for-Public-Art-Skywalk.pdf?noredirect=1","-114.068763619515","50.9364970489145","""(50.936497048915, -114.068763619515)""","3","5","283"
"P2004.002.001","Northwest","The Language of Life","James Holroyd","Thornhill Aquatic and Recreation Centre (6715 Centre St. N.W.)","Four large black and white photographs mounted by the entryway of this facility feature athletes suspended in motion.","Known for exploring art through non-digital photography, the artist was able to use multiple exposures (the act of exposing the same section of film repeatedly to light) to create these fascinating images which represent activities occurring at this Centre.","""Highlighting the movement of an athlete's body while in motion, the sports of Tai chi, hockey, swimming and weight training have been captured as if frozen in time.""","","https://www.calgary.ca/CSPS/Recreation/Documents/Public-art/Percent-for-Public-Art-Language-of-Life.pdf","-114.065183764311","51.1128700530453","""(51.112870053045, -114.065183764311)""","2","2","261"
"P2004.003.001","Southwest","An Auspicious Find","Lori Sobkowich","Prince's Island Park pathway (698 Eau Claire Ave. S.W.)","15,000 marbles create images which reference the ecological environment a visitor might experience when visiting Prince's Island Park.","Four pixilated images represent the flora and fauna of the area in a spontaneous and unique fashion. The marbles shimmer and shift in colour depending on the time of day, while the images become abstracted the closer the viewer stands to the sculptures themselves. Look closely. Can you see yourself?","","","https://www.calgary.ca/CSPS/Recreation/Documents/Public-art/Percent-for-Public-Art-Auspicious-Find.pdf","-114.06938337687","51.0554655243289","""(51.055465524329, -114.06938337687)""","1","7","295"
"P2005.001.001 A-E","Southwest","From the Clouds to the Water","George Duncan","Killarney Dry Pond (N.W. corner of 28th Avenue and 30th Street S.W.)","A collection of forged and wrought iron railing panels and benches make up this multi-piece public art installation.","Natural materials are combined with traditional blacksmithing techniques to create these functional works of art, which contribute a sense of movement and energy to this park-like location.","""The bench design depicts cloud formations encompassed by a gently flowing framework, keeping with the organic theme of the site. The three panels in the railings have an integrated, continuous flow depicting elements of nature including the sun, rain cloud formations, stone and underground river system.""","","https://www.calgary.ca/CSPS/Recreation/Documents/Public-art/Percent-for-Public-Art-Clouds-to-Water.pdf","-114.131622105044","51.0283569222744","""(51.028356922274, -114.131622105044)""","1","14","182"
"P2005.002.001","Northeast","Celebrations","Barbara Amos","Vivo Recreation Centre (11950 Country Village Link N.E.)","This vibrant 20 piece installation reflects on and celebrates the activities which patrons of Vivo Recreation Centre may participate in on site.","Active and passive users of this facility will all see themselves reflected in these paintings which enliven the architecture of the centre's main wall. Spanning almost 90 feet, this multi-painting installation features skaters, hockey players and spectators, ensuring visitors know about the diversity of activities available throughout the complex.","""Similarly, colours and stripes which are incorporated throughout the composition were directly inspired by the markings found on the gym floors within the facility; animating the motion captured in the figures, providing a sense of spontaneity and fun.""","","https://www.calgary.ca/CSPS/Recreation/Documents/Public-art/Percent-for-Public-Art-Celebrations.pdf","-114.066539022445","51.1594115949298","""(51.15941159493, -114.066539022445)""","4","11","264"
"P2005.003.001 A-D","Northwest","Crenellated Habitat","Tony Bloom","John Laurie Blvd. N.W. pedestrian overpass into Nose Hill Park","Two sets of curved, steel panels flank either end of the """"Whispering Grasses Walkway"""", a pedestrian overpass leading into Nose Hill Park.","Images relating to the natural environment are featured on these artworks, which welcome and entice the user to explore, investigate and enjoy the natural environment around them. The curvature and patina of the panels were purposefully selected by the artist to echo the architecture of the bridge. Impressions of bison, predators and even a topographical map can be found etched into the artworks' surfaces.","","","https://www.calgary.ca/CSPS/Recreation/Documents/Public-art/Percent-for-Public-Art-Crenellated-Habitat.pdf","-114.12459656604","51.1012058240991","""(51.101205824099, -114.12459656604)""","2","7","125"
"P2007.001.001","Southwest","Jumping Trout","Violet Costello and Bob Thomasson","""Glenmore Trail, from Elbow Drive to Fifth Avenue S.W.""","Built into the retaining wall of Glenmore Trail, 144 trout are represented as if swimming and jumping along the waves in the near-by Bow River.","Rainbow trout and Brown trout are just five of the species which inhabit this nearby River, a renowned fly-fishing location. These relief forms are bolted into panels representing the water and the sky. Those jumping are highlighted by their colourful scales reflecting in the sun. Those swimming are muted from the dark water of the river.","","","https://www.calgary.ca/CSPS/Recreation/Documents/Public-art/Percent-for-Public-Art-Jumping-Trout.pdf","-114.083153755048","50.9943793432305","""(50.994379343231, -114.083153755048)""","1","8","64"
"P2007.002.001","Northwest","Strung II","Gord Ferguson","Crowchild Trail N.W. (Sarcee Trail N.W. Overpass)","Strung II is comprised of two installations; one in the piers of the underpass along Crowchild Trail N.W. and the other in the railings of the overpass along Sarcee Trail N.W.","When considering the site, the artist was drawn to barbed wire imagery feeling it would be appropriate given this location had been ranch land in the recent past. He felt the use of this imagery would help to connect the site to that history.","""From this he developed two types of experiences. The first is the large sculptural forms of barbed wire perched within the centre piers of the bridge. These are highly visible from a distance, and by C-Train and vehicular commuters who pass by on their daily commute.""","The second is the laser cut panels on the Sarcee Trail overpass, which allow for a more personal pedestrian experience. Eight panels are inset within the railing, their connection implying a continuous string of barbed wire running from one end to the other. On a sunny day they cast shadows on the bridge deck and provide an alternate viewpoint for those engaging with the site.","https://www.calgary.ca/_layouts/cocis/DirectDownload.aspx?target=http%3a%2f%2fwww.calgary.ca%2fCSPS%2fRecreation%2fDocuments%2fPublic-art%2fPercent-for-Public-Art-Strung-II.pdf&noredirect=1&sf=1","-114.178348573657","51.1106588544811","""(51.110658854481, -114.178348573657)""","2","3","245"
"P2007.003.001","Southeast","Tracking the Trail","Roger Gaudreau","Highway 22X and McKenzie Meadows Drive S.E. (under the bridge)","By the pathways of Fish Creek Park, elements of nature are combined to emphasize the uniqueness of this location where man and nature converge.","A walk through the site inspired the artist to create a multi-piece artwork, which is directly connected to this place. Whether man-made or natural in form, all of the elements from the paths to the animal tracks to the stone join together at this site.","""The adjacent paths are referenced through the linear sections of stone. Local materials such as rock and stone are embedded within, a contrast in texture to the smooth granite that surrounds it.  Animal tracks are scattered throughout, just as they were during the artist's visit and as they continue to be each day.""","Can you guess which creatures the artist discovered here on his journey?","https://www.calgary.ca/_layouts/cocis/DirectDownload.aspx?target=http%3a%2f%2fwww.calgary.ca%2fCSPS%2fRecreation%2fDocuments%2fPublic-art%2fPercent-for-Public-Art-Tracking-the-Trail.pdf&noredirect=1&sf=1","-114.008502543553","50.8941189297968","""(50.894118929797, -114.008502543553)""","3","4","5"
"P2007.004.001","Southeast","Water Garden","Linda Covitt","The City of Calgary Water Centre (625 Spiller Rd. S.E.)","A sculptural installation in the lobby of the Water Centre is a dynamic statement, utilizing water to celebrate and draw attention to the services provided within this civic building.","This multi-piece installation brings nature into an interior environment by referencing natural elements in a striking and dynamic manner. There are notions of a wooded grove as seen through the angular, tall green poles, and a natural water source, referenced by the monumental columnar tank which mimics a babbling brook, animating this site with its bubbling and fluid movements.","","","https://www.calgary.ca/CSPS/Recreation/Documents/Public-art/Percent-for-Public-Art-Water-Garden.pdf","-114.049422016727","51.0292422304783","""(51.029242230478, -114.049422016727)""","3","10","160"
"P2007.005.001","Southwest","""Bridge, Abridged""","Adam Kuby","Overpass at Glenmore Tr. and Legsby Rd. N.W.","Artwork appears throughout the sound walls, the bridge deck, the railings, and on the piers of the bridge itself, helping to tell the story of this sites development.","Inspired by the challenging requirements of this cantilevered bridge, the artist chose to reveal the complexities of engineering through his public art project.  Words and shapes help to highlight the unique design and construction of this cantilevered walkway. Basic principles of physics such as compressing, tension, and expansion are noted at critical locations throughout the site.","""To learn more about this award winning design, visit the interpretive panel sitting at the base of the overpass.""","","https://www.calgary.ca/CSPS/Recreation/Pages/Public-Art/Bridge,-Abridged---Public-Artwork.aspx","-114.112296141238","50.9990733056448","""(50.999073305645, -114.112296141238)""","1","8","122"
"P2007.006.001","Northeast","Topiary","Jim Hirschfield and Sonya Ishii","McKnight/Westwinds LRT Station (6200 36th St. N.E.)","Located in the plaza area of the LRT station, this whimsical and distinctly unique sculpture is contemporary in nature, but historical in inspiration.","Topiaries are structures grown from nature, but designed by humans. They are often fanciful, featuring large geometric shapes or figural compositions. Complicated and detailed they are commonly viewed as living sculptures. In the artist's words a """"...topiary sculpture is about cultivation and that can mean many things. It can be a cultivation of community, a cultivation of ideas or the cultivation of gardens and life.""""","""References to the Blackfoot Nation have been included through the use of circles in both this and the metal quilt installation.  The Blackfoot, one of the oldest aboriginal nations to inhabit Calgary, often incorporate circles into many of their creations, and the inclusion of this motif acts as a way to continue their connection to this site and to the community of Calgary.""","","https://www.calgary.ca/_layouts/cocis/DirectDownload.aspx?target=http%3a%2f%2fwww.calgary.ca%2fCSPS%2fRecreation%2fDocuments%2fPublic-art%2fPercent-for-Public-Art-Recollections.pdf&noredirect=1&sf=1","-113.975134743842","51.1093084137672","""(51.109308413767, -113.975134743842)""","4","9","80"
"P2007.006.001","Northeast","Columns (LRT Platform)","Jim Hirschfield and Sonya Ishii","McKnight/Westwinds LRT Station (6200 36th St. N.E.)","Located on the LRT platform, these historical images grace both sides of the supporting columns of the station roof. Viewed separately they are pieces of a story. Viewed in their entirety, the story is told.","Both sides of the columns have historical images sourced from Calgary's Glenbow Museum Archives. The images have been separated into segments, which align when the viewer stands at either end of the platform. One image is of a little girl riding a sheep and the other is of a lady standing on the back of a galloping horse.  Each image references the ranching history of this area, providing a sense of the past as the viewer journeys to their next destination.","","","https://www.calgary.ca/_layouts/cocis/DirectDownload.aspx?target=http%3a%2f%2fwww.calgary.ca%2fCSPS%2fRecreation%2fDocuments%2fPublic-art%2fPercent-for-Public-Art-Recollections.pdf&noredirect=1&sf=1","-113.975730323615","51.1091384550281","""(51.109138455028, -113.975730323615)""","4","9","80"
